YEAR,TRAN,PLOT,SPEC,FIASP,DAM,SZ0,SZ1,SZ2,SZ3,SZ4,SZ5,SZ6,SZ7,SZ8,SZ9
2002,C50,1,3,012,0,0,0,0,0,0,0,1,0,0,0
2002,C50,1,5,833,0,0,0,0,1,0,0,0,0,1,0
2002,C51,2,3,012,0,2,0,0,2,0,2,0,0,0,0
2002,C51,2,4,261,0,1,0,0,0,0,0,0,0,0,0
2002,C51,2,2,097,0,1,0,0,0,1,0,0,0,0,0
2002,C51,2,6,802,3,1,0,0,0,0,0,0,0,0,0
2002,C51,2,8,371,0,0,0,1,0,0,0,0,0,0,0
2002,C51,2,8,371,3,1,0,0,0,0,0,0,0,0,0
2002,C49,1,9,375,0,1,0,0,0,0,0,0,0,0,0
2002,C49,1,12,541,0,0,0,0,0,1,0,0,0,0,0
2002,C49,2,2,097,0,2,0,0,0,0,0,0,0,0,0
2002,C49,2,1,129,0,2,0,0,0,0,0,0,0,0,0
2002,C41,1,25,585,1,3,0,3,4,0,0,0,0,0,0
2002,C41,1,25,585,3,3,0,0,0,0,0,0,0,0,0
2002,C53,2,0,000,0,0,0,0,0,0,0,0,0,0,0
2002,C40,1,2,097,0,1,0,0,0,0,1,0,0,0,0
2002,C40,1,25,585,0,2,0,0,0,0,0,0,0,0,0
2002,C38,1,3,012,0,2,0,0,0,2,0,0,0,0,0
2002,C38,1,16,762,0,1,0,0,0,0,0,0,0,0,0
2002,C38,1,7,316,2,3,0,0,0,0,0,0,0,0,0
2002,C38,1,7,316,3,2,0,1,1,0,0,0,0,0,0
2002,H49,2,1,129,0,1,0,0,0,0,0,0,0,0,0
2002,H49,2,6,802,0,1,0,0,0,0,0,0,0,0,0
2002,C01,3,7,316,0,0,0,0,0,0,0,1,0,0,0
2002,C01,3,2,097,0,1,0,0,0,0,0,0,0,0,0
2002,C01,3,1,129,0,2,0,0,0,0,0,0,0,0,0
2002,C01,1,1,129,0,2,0,0,0,0,0,0,0,0,0
2002,H54,1,1,129,0,2,0,0,0,0,0,0,0,0,0
2002,H54,1,6,802,3,1,0,0,0,0,0,0,0,0,0
2002,H54,1,8,371,0,0,0,0,0,0,0,1,0,0,0
2002,C31,3,3,012,0,0,0,0,2,0,0,0,0,0,0
2002,C31,3,2,097,0,1,0,0,0,0,0,0,0,0,0
2002,C31,3,7,316,0,0,0,0,0,0,1,0,0,0,0
2002,C31,5,3,012,0,1,0,0,0,0,0,0,1,0,0
2002,C31,5,7,316,0,0,0,0,0,0,0,0,0,1,0
2002,C31,6,3,012,0,0,0,0,0,2,1,2,0,0,0
2002,C32,2,7,316,3,1,0,0,0,0,0,0,0,0,0
2002,H31,1,1,129,0,21,0,11,5,1,0,0,0,0,0
2002,H31,1,6,802,1,1,0,0,0,0,0,0,0,0,0
2002,H31,2,7.1,316,0,0,2,2,0,0,0,0,0,0,0
2002,H31,2,1,129,0,7,0,2,2,1,1,1,1,0,0
2002,H31,2,3,012,0,2,0,1,1,0,0,0,0,0,0
2002,H31,2,6,802,1,0,1,0,0,0,0,0,0,0,0
2002,H25,1,1,129,0,6,0,2,0,0,0,0,0,0,0
2002,H25,1,3,012,0,2,0,0,0,0,0,0,0,0,0
2002,H25,1,4,261,0,3,0,1,0,0,0,0,0,0,0
2002,H25,1,9,375,1,1,0,0,0,0,0,0,0,0,0
2002,H25,1,8,371,3,3,0,0,0,0,0,0,0,0,0
2002,H25,1,2,097,0,3,0,0,0,0,0,0,0,0,0
2002,H25,1,8,371,2,1,0,0,0,0,0,0,0,0,0
2002,H25,5,4,261,0,1,0,0,0,0,0,0,0,0,0
2002,H25,6,2,097,0,1,0,0,0,0,0,0,0,0,0
2002,H25,6,3,012,0,1,0,0,0,0,0,0,0,0,0
2002,H25,6,4,261,0,1,0,0,0,0,0,0,0,0,0
2002,H25,6,8.1,371,3,5,0,0,0,0,0,0,0,0,0
2002,H25,6,7,316,0,0,0,0,0,0,1,0,0,0,0
2002,H25,6,8,371,0,0,0,0,0,0,0,0,1,0,0
2002,L08,1,0,000,0,0,0,0,0,0,0,0,0,0,0
2002,L08,6,0,000,0,0,0,0,0,0,0,0,0,0,0
2002,H40,2,2,097,0,6,0,0,1,0,0,0,0,0,0
2002,H40,2,1,129,0,1,0,0,0,0,1,1,0,0,0
2002,H40,2,3,012,0,0,0,0,1,0,0,0,0,0,0
2010,H01,1,1,129,0,39,0,1,0,1,0,0,0,0,0
2010,H01,1,1,129,1,2,0,0,0,0,0,0,0,0,0
2010,H01,1,4,261,0,0,0,1,0,0,0,0,0,0,0
2010,H01,1,2,097,0,11,0,0,0,0,0,0,0,0,0
2010,H01,1,3,012,0,3,0,2,0,1,0,0,0,0,0
2010,H01,5,1,129,0,11,0,0,0,0,0,0,0,0,0
2010,H01,5,4,261,2,1,0,0,0,0,0,0,0,0,0
2010,H01,5,25,585,0,2,0,0,4,1,1,1,0,0,0
2010,H01,5,3,012,0,2,0,0,2,0,0,0,0,0,0
2010,H01,5,25,585,2,5,0,0,0,0,0,0,0,0,0
2010,H01,6,3,012,0,5,0,3,3,1,0,0,0,0,0
2010,H01,6,2,097,0,1,0,0,0,0,0,0,0,0,0
2010,H01,6,25,585,0,0,0,2,3,0,0,0,0,0,0
2010,H01,6,4,261,0,0,0,0,1,0,0,0,0,0,0
2010,H02,1,1,129,0,46,0,1,0,1,0,0,0,0,0
2010,H02,1,4,261,0,0,0,1,0,0,0,0,0,0,0
2010,H02,1,1,129,1,2,0,0,0,0,0,0,0,0,0
2010,H02,1,2,097,0,11,0,0,0,0,0,0,0,0,0
2010,H02,1,3,012,0,3,0,2,0,1,0,0,0,0,0
2010,H02,4,1,129,0,9,0,0,0,0,0,0,0,0,0
2010,H02,4,3,012,0,1,0,0,0,0,0,0,0,1,0
2010,H02,4,2,097,0,0,0,1,0,0,0,0,0,0,0
2010,H02,4,4,261,2,1,0,0,0,0,0,0,0,0,0
2010,H02,4,25,585,0,0,0,2,2,0,1,0,0,0,0
2010,H02,4,25,585,2,1,0,0,0,0,0,0,0,0,0
2010,H02,3,1,129,1,1,0,0,0,0,0,0,0,0,0
2010,H02,3,3,012,0,4,0,0,2,0,0,1,1,0,0
2010,H02,3,1,129,0,1,0,0,0,0,0,0,0,0,0
2010,H02,3,2,097,0,1,0,0,0,0,0,0,0,0,0
2010,H02,3,25,585,0,1,0,1,0,0,2,0,0,0,0
2010,H02,3,25,585,2,3,0,0,0,0,0,0,0,0,0
2010,H55,1,1,129,0,3,0,0,0,0,0,0,0,0,0
2010,H55,1,2,097,0,12,0,0,0,0,0,0,0,0,0
2010,H55,1,4,261,1,1,0,0,0,0,0,0,0,0,0
2010,H55,1,25,585,0,0,0,2,1,0,0,0,0,0,0
2010,H55,1,25,585,2,1,0,0,0,0,0,0,0,0,0
2010,H55,1,3,012,0,0,0,0,0,1,0,0,0,0,0
2010,H35,6,1,129,0,2,0,0,0,0,0,0,0,0,0
2010,H35,6,2,097,0,3,0,0,0,0,0,0,0,0,0
2010,H35,6,7,316,0,0,0,2,0,0,0,0,0,0,0
2010,H35,6,4,261,0,2,0,0,0,0,0,0,0,0,0
2010,H35,4,2,097,0,4,0,0,0,0,0,0,0,0,0
2010,H35,4,1,129,0,2,0,0,0,0,0,0,0,0,0
2010,H35,5,1,129,0,1,0,0,1,0,0,0,0,0,0
2010,H35,5,10,379,3,2,0,0,0,0,0,0,0,0,0
2010,H35,5,7,316,0,0,0,1,0,0,0,0,0,0,0
2010,H35,5,7,316,1,1,0,0,0,0,0,0,0,0,0
2010,H35,5,7,316,3,2,0,0,0,0,0,0,0,0,0
2010,H35,5,2,097,0,2,0,0,0,0,0,0,0,0,0
2010,H04,1,1,129,0,2,0,1,0,0,1,0,1,0,0
2010,H04,1,1,129,1,0,0,1,0,0,0,1,1,0,0
2010,H04,1,2,097,0,1,0,0,0,0,0,0,0,0,0
2010,H04,1,4,261,0,1,0,0,0,0,0,0,0,0,0
2010,H04,1,3,012,0,2,0,0,0,0,0,0,0,0,0
2010,H04,2,1,129,0,0,0,1,0,0,0,0,0,0,0
2010,H04,2,1,129,1,1,0,0,1,0,0,1,0,1,1
2010,H04,4,1,129,0,2,0,0,0,0,0,0,1,0,0
2010,H04,4,1,129,2,0,0,0,0,0,0,0,1,0,0
2010,H04,4,10,379,0,0,0,0,0,0,1,1,0,0,0
2010,H04,6,1,129,0,4,0,2,0,1,0,0,1,0,0
2010,H04,6,2,097,0,2,0,0,0,0,1,0,0,0,0
2010,H04,6,3,012,0,3,0,0,2,0,0,0,0,0,0
2010,H03,1,1,129,0,1,0,2,0,0,1,0,1,0,0
2010,H03,1,2,097,0,0,0,0,1,0,0,0,1,0,0
2010,H03,1,3,012,0,0,0,0,1,0,0,0,0,0,0
2010,H03,3,1,129,0,3,0,0,0,0,0,0,0,0,0
2010,H03,3,10,379,0,0,0,0,0,1,0,3,0,0,0
2010,H03,3,10,379,3,1,0,0,0,0,0,0,0,0,0
2010,H03,3,3,012,0,0,0,0,0,0,1,1,0,0,0
2010,H03,3,1,129,1,0,0,0,0,0,0,0,2,0,0
2010,H03,6,1,129,0,4,0,0,0,0,0,0,0,0,0
2010,H03,6,2,097,0,1,0,0,0,0,0,0,0,0,0
2010,H03,6,10,379,3,1,0,0,0,0,0,0,0,0,0
2010,H03,6,10,379,0,0,0,0,0,0,1,2,0,0,0
2010,H42,2,3,012,0,4,0,1,0,0,1,0,0,1,0
2010,H42,2,4,261,0,1,0,0,0,0,0,0,0,0,0
2010,H36,3,3,012,1,4,0,0,0,0,0,0,0,0,0
2010,H36,3,3,012,0,0,0,0,0,0,0,0,0,1,0
2010,H36,3,25,585,0,0,0,3,0,0,0,0,0,0,0
2010,H36,3,2,097,0,1,0,0,0,0,0,0,0,0,0
2010,H36,3,1,129,0,3,0,0,0,0,0,0,0,0,0
2010,H36,3,25,585,2,1,0,0,0,0,0,0,0,0,0
2010,H36,4,3,012,0,2,0,0,0,2,0,1,2,0,0
2010,H36,4,25,585,3,1,0,0,0,0,0,0,0,0,0
2010,H36,4,25,585,0,0,0,4,4,1,0,0,0,0,0
2010,T08,2,3,012,0,3,0,0,0,0,0,0,0,1,0
2010,T08,2,2,097,0,0,0,0,0,0,1,0,0,0,0
2010,C31,1,3,012,0,0,0,0,2,0,1,0,0,0,1
2010,C31,1,2,097,0,0,0,0,0,0,0,0,0,0,1
2010,C31,3,3,012,0,0,0,0,0,0,1,0,0,0,0
2010,C31,3,2,097,0,0,0,1,0,0,0,0,0,0,0
2010,C31,3,7,316,0,0,0,0,0,0,1,0,0,0,0
2010,C31,5,3,012,0,2,0,0,0,0,0,0,0,1,0
2010,C31,6,3,012,0,0,0,0,0,1,1,3,0,0,0
2010,C38,1,3,012,0,2,0,0,1,3,0,0,0,0,0
2010,C28,2,3,012,0,0,0,1,0,0,0,0,0,0,0
2010,C28,3,2,097,0,0,0,0,0,0,1,0,0,0,0
2010,C28,5,7,316,0,0,0,0,0,0,0,0,0,0,1
2010,C28,6,4,261,0,0,0,0,1,0,0,0,0,0,0
2010,C28,6,3,012,0,1,0,0,0,0,0,0,0,0,0
2010,C28,6,25,585,0,0,0,0,1,0,0,0,0,0,0
2010,C29,1,3,012,0,0,0,0,0,0,0,0,0,0,1
2010,C29,1,10,379,0,6,0,0,0,0,0,0,0,0,0
2010,C29,6,3,012,0,1,0,0,1,0,0,0,0,0,0
2010,C29,6,2,097,0,1,0,0,0,0,0,0,0,0,0
2010,C30,6,2,097,0,3,0,0,0,0,0,0,0,0,0
2010,C30,4,3,012,0,0,0,0,1,1,0,0,0,0,0
2010,C30,1,3,012,0,1,0,1,0,0,0,0,0,1,0
2010,C30,1,4,261,2,1,0,0,0,0,0,0,0,0,0
2010,C30,1,2,097,0,1,0,0,0,0,0,0,0,0,0
2010,C30,3,2,097,0,4,0,3,0,0,0,0,0,0,0
2010,C30,3,3,012,0,0,0,1,0,0,1,0,0,0,0
2010,C40,1,2,097,0,2,0,0,0,0,1,0,0,0,0
2010,C41,1,3,012,0,0,0,1,1,0,0,0,0,0,0
2010,C41,1,25,585,1,3,0,0,0,0,0,0,0,0,0
2010,C41,1,25,585,0,0,0,1,1,3,1,0,0,0,0
2010,L04,10,1,129,0,2,0,0,0,0,0,0,0,0,0
2010,L04,6,1,129,0,0,0,0,0,0,0,0,0,1,0
2010,L04,7,5,833,0,0,0,0,0,0,0,1,0,0,0
2010,L04,7,1,129,0,3,0,0,0,0,0,0,0,0,0
2010,L04,9,1,129,0,2,0,0,0,0,0,0,0,0,0
2010,H39,3,2,097,0,3,0,2,0,0,0,0,0,0,0
2010,H39,3,1,129,0,2,0,0,0,0,0,0,0,0,0
2010,H39,3,25,585,0,4,0,0,1,5,2,1,0,0,0
2010,H39,3,25,585,0,5,0,0,0,0,0,0,0,0,0
2010,H39,1,1,129,0,2,0,0,0,0,0,0,0,0,0
2010,H39,1,2,097,0,2,0,0,0,0,0,0,1,0,0
2010,H39,6,2,097,0,7,0,4,0,0,0,0,0,0,0
2010,H39,6,25,585,0,0,0,4,4,5,0,0,0,0,0
2010,H45,2,3,012,0,4,0,4,0,0,2,0,0,0,0
2010,H45,2,25,585,0,0,0,1,0,1,1,0,0,0,0
2010,H45,2,25,585,3,5,0,0,0,0,0,0,0,0,0
2010,H46,2,1,129,0,6,0,3,1,1,1,0,1,0,0
2010,H46,2,1,129,1,0,0,0,1,0,0,0,0,0,1
2010,C24,2,1,129,0,0,0,0,0,0,0,0,0,1,0
2010,C24,2,3,012,0,1,0,0,0,0,0,0,0,0,0
2010,C24,1,3,012,0,0,0,0,0,0,1,0,0,0,0
2010,C24,1,4,261,0,0,0,0,0,0,0,1,0,0,0
2010,C24,1,1,129,0,1,0,0,0,0,0,0,0,0,0
2010,C24,4,25,585,0,0,0,1,0,2,2,0,0,0,0
2010,C24,4,4,261,0,0,0,0,0,1,0,0,0,0,0
2010,C24,5,2,097,0,2,0,0,0,0,0,0,0,0,0
2010,C24,5,4,261,2,2,0,0,0,0,0,0,0,0,0
2010,C24,5,25,585,0,0,0,0,1,1,2,1,0,0,0
2010,C24,5,25,585,2,3,0,0,0,0,0,0,0,0,0
2010,C24,6,3,012,0,0,0,0,0,0,0,0,0,1,0
2010,C24,6,25,585,0,1,0,0,1,0,0,0,0,0,0
2010,C24,6,4,261,1,1,0,0,0,0,0,0,0,0,0
2010,T01,1,3,012,0,2,0,0,2,0,0,0,0,0,0
2010,T01,1,6,802,0,0,0,0,0,1,0,0,0,0,0
2010,T01,1,1,129,0,0,0,0,1,0,0,0,0,0,0
2010,T01,1,2,097,0,0,0,0,0,1,0,0,0,0,0
2010,T01,1,4,261,0,1,0,0,0,0,0,0,0,0,0
2010,T03,1,4,261,0,0,0,1,0,0,0,1,0,0,0
2010,T03,1,2,097,0,1,0,0,0,0,0,0,0,0,0
2010,H19,5,1,129,0,6,0,0,0,0,0,0,0,0,0
2010,H19,2,1,129,0,10,0,0,0,2,0,0,0,0,0
2010,H19,2,7,316,0,1,0,1,1,0,0,0,0,0,0
2010,H19,2,4,261,3,1,0,0,0,0,0,0,0,0,0
2010,H19,2,4,261,0,0,0,1,0,0,1,1,0,1,0
2010,H18,1,4,261,0,0,0,0,0,1,0,0,0,0,0
2010,H18,1,5,833,0,0,0,0,0,1,0,0,0,0,0
2010,H18,1,1,129,0,59,0,1,0,0,0,0,0,0,0
2010,H18,1,2,097,0,1,0,0,1,0,0,0,0,0,0
2010,H18,1,1,129,1,2,0,0,0,0,0,0,0,0,0
2010,H18,3,1,129,1,2,0,0,0,0,0,0,0,0,0
2010,H18,3,1,129,0,32,0,0,0,3,0,0,0,0,0
2010,H18,3,7,316,0,1,0,1,1,0,1,0,0,0,0
2010,H18,3,4,261,0,0,0,1,0,0,0,0,0,0,0
2010,H18,4,4,261,1,1,0,0,0,0,0,0,0,0,0
2010,H18,4,1,129,1,0,0,1,0,0,0,0,0,0,0
2010,H18,4,1,129,0,0,0,1,2,0,0,0,0,0,0
2010,H18,4,4,261,0,6,0,2,3,4,1,1,1,0,1
2010,H18,4,3,012,0,0,0,0,0,0,1,0,0,0,0
2010,H18,4,2,097,0,1,0,0,0,0,0,0,0,0,0
2010,H33,1,4,261,0,1,0,1,0,0,0,0,0,0,0
2010,H33,1,1,129,0,1,0,0,0,0,0,0,0,0,0
2010,H33,1,5,833,0,0,0,0,0,3,0,0,0,0,1
2010,H33,1,2,097,0,1,0,1,0,0,0,0,0,0,0
2010,H33,4,1,129,1,1,0,0,0,0,0,0,0,0,0
2010,H33,4,1,129,0,2,0,0,1,0,0,0,0,0,0
2010,H33,4,5,833,0,0,0,0,1,0,0,0,0,0,0
2010,H33,4,4,261,0,0,0,0,0,0,0,0,1,0,0
2010,H33,4,25,585,0,3,0,0,1,1,0,0,0,0,0
2010,H33,4,25,585,3,2,0,0,0,0,0,0,0,0,0
2010,H17,1,2,097,0,1,0,0,0,0,0,0,0,0,0
2010,H17,1,7,316,0,1,0,1,0,0,0,0,0,0,0
2010,H17,1,1,129,0,6,0,1,0,0,0,0,0,0,0
2010,H17,2,25,585,0,1,0,0,1,1,2,1,0,0,0
2010,H17,2,25,585,3,2,0,0,0,0,0,0,0,0,0
2010,H17,2,1,129,0,11,0,0,0,0,0,0,0,0,0
2010,H17,2,2,097,0,1,0,0,0,0,0,0,0,0,0
2010,H17,2,7,316,0,0,0,0,0,1,0,0,0,0,0
2010,H17,3,1,129,0,11,0,3,1,0,0,0,0,0,0
2010,H17,3,4,261,1,1,0,0,0,0,0,0,0,0,0
2010,H17,3,1,129,1,0,0,1,0,0,0,1,0,0,0
2010,H17,3,25,585,0,0,0,1,0,2,0,0,0,0,0
2010,H17,3,25,585,2,1,0,0,0,0,0,0,0,0,0
2010,H17,5,1,129,0,6,0,0,1,0,0,0,0,0,0
2010,H43,1,2,097,0,1,0,0,0,0,0,0,0,0,0
2010,H43,1,25,585,0,0,0,0,1,2,0,0,0,0,0
2010,H43,1,25,585,3,1,0,0,0,0,0,0,0,0,0
2010,H34,2,2,097,0,4,0,0,0,0,0,0,0,0,0
2010,H34,2,4,261,0,1,0,0,0,0,0,1,0,0,0
2010,T06,1,3,012,0,1,0,0,1,0,0,0,0,0,0
2010,T06,1,25,585,0,0,0,0,1,0,0,0,0,0,0
2010,T06,1,4,261,3,1,0,0,0,0,0,0,0,0,0
2010,T06,1,2,097,0,1,0,0,0,0,0,0,0,0,0
2010,L05,2,1,129,0,1,0,0,1,1,0,0,0,0,0
2010,L05,2,1,129,1,1,0,0,0,0,0,0,0,0,0
2010,C35,1,3,012,0,1,0,0,0,0,0,0,0,1,0
2010,C35,1,2,097,0,1,0,0,0,0,0,0,0,0,1
2010,C35,4,2,097,0,1,0,0,1,1,0,0,0,0,0
2010,C35,4,3,012,0,1,0,0,1,1,2,0,0,0,0
2010,C35,3,3,012,0,11,0,1,1,2,0,0,0,0,0
2010,C34,1,2,097,0,1,0,0,1,0,0,0,0,0,0
2010,C34,1,7,316,0,1,0,0,0,0,0,0,0,1,0
2010,C34,6,7,316,0,0,0,0,0,0,0,0,0,0,1
2010,C34,5,4,261,0,0,0,2,0,0,0,0,0,0,0
2010,C34,5,25,585,2,1,0,0,0,0,0,0,0,0,0
2010,C34,5,2,097,0,0,0,1,0,0,0,0,0,0,0
2010,C33,6,1,129,1,0,0,0,0,0,0,0,0,0,1
2010,C33,6,2,097,0,3,0,0,0,0,0,0,0,0,0
2010,C33,6,1,129,0,9,0,0,0,1,0,0,0,0,0
2010,C33,6,3,012,0,0,0,0,0,0,1,0,0,0,0
2010,C33,1,3,012,0,0,0,0,0,0,1,1,0,0,0
2010,C33,3,3,012,0,1,0,0,0,0,0,0,0,0,0
2010,C33,2,1,129,0,1,0,0,1,0,0,0,0,0,0
2010,C33,2,3,012,0,2,0,0,0,0,0,0,0,0,0
2010,C33,2,1,129,1,1,0,0,0,0,0,0,0,0,0
2010,C36,4,2,097,0,1,0,0,0,0,0,0,0,0,0
2010,C36,2,2,097,0,2,0,0,0,0,0,0,0,0,0
2010,C36,2,4,261,2,1,0,0,0,0,0,0,0,0,0
2010,C36,1,4,261,3,4,0,0,0,0,0,0,0,0,0
2010,C36,1,4,261,1,1,0,0,0,0,0,0,0,0,0
2010,C47,2,4,261,0,0,0,0,1,0,0,0,0,0,0
2010,C47,2,3,012,0,0,0,0,0,0,1,0,0,0,0
2010,C47,2,2,097,0,2,0,0,0,0,0,0,0,0,0
2010,C47,2,4,261,1,1,0,0,0,0,0,0,0,0,0
2010,C48,1,7,316,0,0,0,0,0,0,0,0,0,0,1
2010,C48,2,2,097,0,0,0,0,0,0,0,0,0,0,1
2010,L03,6,2,097,0,1,0,1,0,0,0,0,1,0,0
2010,L03,6,1,129,0,0,0,0,0,0,0,0,0,0,1
2010,L03,12,1,129,0,0,0,0,0,0,0,0,1,1,0
2010,L03,12,2,097,0,2,0,0,0,0,0,0,0,0,1
2010,L06,1,1,129,1,1,0,0,0,0,0,0,0,0,0
2010,L06,1,4,261,0,0,0,1,0,0,0,0,0,0,0
2010,L06,1,1,129,0,0,0,0,1,0,0,0,0,0,0
2010,L06,1,2,097,0,1,0,0,0,0,0,0,0,0,0
2010,C27,4,7,316,0,0,0,0,0,0,0,0,1,0,0
2010,C27,4,4,261,1,1,0,0,0,0,0,0,0,0,0
2010,C27,4,2,097,0,0,0,0,0,0,0,1,0,0,1
2010,C27,1,5,833,0,0,0,0,0,0,0,0,0,0,1
2010,C27,3,2,097,0,0,0,0,0,1,0,0,0,0,0
2010,C27,3,7,316,0,0,0,1,0,2,0,0,0,0,0
2010,C27,2,2,097,0,6,0,0,0,0,0,0,0,0,0
2010,T05,2,2,097,0,2,0,0,0,0,0,0,0,0,0
2010,C46,1,7,316,0,0,0,0,1,0,0,0,0,0,0
2010,C26,3,2,097,0,1,0,0,0,0,0,0,0,0,0
2010,C26,4,2,097,0,0,0,0,0,0,0,1,0,0,0
2010,C26,4,7,316,0,0,0,0,0,1,0,0,0,0,0
2010,C26,1,2,097,0,1,0,0,1,0,0,0,0,0,0
2010,C25,2,2,097,0,1,0,1,0,0,0,0,0,0,0
2010,C25,2,3,012,0,3,0,0,1,0,2,0,0,0,0
2010,C25,1,4,261,0,0,0,0,1,0,0,0,0,0,1
2010,C25,1,7,316,0,0,0,0,0,0,0,1,0,0,0
2010,T04,1,3,012,0,1,0,0,0,0,0,0,0,0,0
2010,T04,1,4,261,0,0,0,0,1,0,0,0,1,0,0
2010,L01,1,1,129,0,4,0,0,0,0,0,0,0,1,0
2010,L01,5,1,129,0,2,0,0,0,0,0,0,0,0,0
2010,L02,1,1,129,0,2,0,0,0,0,0,0,0,0,0
2010,L02,1,2,097,0,1,0,0,0,0,0,0,0,0,0
2010,L02,2,1,129,0,3,0,0,0,0,0,0,0,0,0
2010,L02,5,1,129,0,2,0,0,0,0,0,0,0,0,0
2010,L02,5,9,375,0,0,0,0,0,0,0,0,1,0,0
2010,L01,2,1,129,0,0,0,0,1,0,0,1,0,0,0
2010,L01,3,1,129,0,0,0,0,2,0,0,0,0,0,0
2010,L02,8,1,129,0,2,0,1,2,1,1,1,0,1,0
2010,L02,8,1,129,1,1,0,0,0,0,0,0,0,0,0
2010,L10,1,4,261,1,1,0,0,0,0,0,0,0,0,0
2010,C23,4,1,129,0,4,0,0,0,0,0,0,0,0,0
2010,C23,4,7,316,0,0,0,0,0,0,0,0,0,1,0
2010,C23,4,3,012,0,1,0,0,0,0,0,0,0,0,0
2010,C23,1,8,371,0,0,0,0,0,0,0,0,0,1,0
2010,C23,1,1,129,0,0,0,0,0,0,0,1,1,0,0
2010,C23,1,1,129,1,1,0,0,0,0,0,0,0,0,0
2010,C22,2,2,097,0,2,0,0,0,0,0,0,0,0,0
2010,C22,2,3,012,0,0,0,1,0,0,0,0,0,0,0
2010,C22,6,7,316,0,0,0,0,0,0,0,0,0,0,1
2010,C22,6,1,129,0,3,0,0,0,0,0,0,0,0,0
2010,C22,4,3,012,0,1,0,0,0,1,0,0,0,0,0
2010,C22,4,1,129,0,2,0,0,0,0,0,0,0,0,0
2010,C22,4,3,012,2,4,0,0,0,0,0,0,0,0,0
2010,C44,1,1,129,0,4,0,0,0,0,0,0,0,0,0
2010,C44,1,3,012,0,0,0,0,1,0,0,0,0,0,0
2010,C44,2,25,585,0,0,0,2,0,0,0,0,0,0,0
2010,C44,2,25,585,2,1,0,0,0,0,0,0,0,0,0
2010,C44,2,3,012,0,2,0,2,1,0,0,0,0,0,0
2010,C55,5,4,261,0,0,0,1,0,0,0,0,0,0,0
2010,C55,5,5,833,0,0,0,0,1,0,0,0,0,0,0
2010,C55,5,7,316,0,0,0,0,0,1,0,0,0,0,0
2010,C55,2,8,371,0,0,0,0,0,0,0,0,0,1,0
2010,C54,6,25,585,0,2,0,1,1,0,0,0,0,0,0
2010,C54,6,25,585,3,3,0,0,0,0,0,0,0,0,0
2010,C54,6,4,261,0,0,0,0,0,0,0,0,1,0,0
2010,C54,6,8,371,0,0,0,0,0,0,1,0,0,0,0
2010,C54,5,3,012,0,1,0,0,0,0,0,0,0,0,1
2010,C54,5,4,261,0,0,0,0,0,0,0,0,0,1,0
2010,C54,1,3,012,0,2,0,0,2,0,0,0,0,0,0
2010,C54,1,4,261,0,0,0,1,0,0,2,1,0,0,0
2010,C54,1,2,097,0,1,0,0,0,0,0,0,0,0,0
2010,C54,4,25,585,0,0,0,2,0,0,0,1,0,0,0
2010,C54,4,2,097,0,0,0,0,0,0,1,0,1,0,0
2010,T14,2,3,012,0,1,0,1,0,0,0,0,0,0,0
2010,T14,2,1,129,0,2,0,1,2,0,0,0,0,0,0
2010,T13,1,1,129,0,6,0,2,0,1,0,0,0,0,0
2010,T13,1,2,097,0,2,0,0,0,0,0,0,0,0,0
2010,T13,1,4,261,0,0,0,1,0,0,1,0,0,0,0
2010,T13,1,4,261,2,3,0,0,0,0,0,0,0,0,0
2010,T13,1,3,012,0,2,0,1,0,0,0,0,0,0,0
2010,H32,1,25,585,0,0,0,2,3,5,3,1,0,0,0
2010,H32,1,1,129,1,1,0,0,0,0,1,0,0,0,0
2010,H32,1,3,012,0,0,0,0,1,1,0,0,0,0,0
2010,H32,1,7,316,0,0,1,0,0,0,0,0,0,0,0
2010,H32,1,1,129,0,0,0,1,0,1,0,0,0,0,0
2010,H32,1,25,585,2,1,0,0,0,0,0,0,0,0,0
2010,H32,1,25,585,3,3,0,0,0,0,0,0,0,0,0
2010,H51,1,2,097,0,3,0,0,0,0,0,0,0,0,0
2010,H51,1,4,261,3,4,0,0,0,0,0,0,0,0,0
2010,H51,1,8,371,0,0,0,1,0,0,0,0,0,0,0
2010,H51,1,1,129,1,1,0,0,0,0,0,0,0,0,0
2010,H51,1,1,129,0,1,0,0,0,0,0,0,0,0,0
2010,H51,1,4,261,2,1,0,0,0,0,0,0,0,0,0
2010,H51,1,4,261,0,0,0,0,1,0,0,1,0,0,0
2010,H50,1,4,261,2,2,0,0,0,0,0,0,0,0,0
2010,H50,1,2,097,0,8,0,1,0,0,0,0,0,0,0
2010,H50,1,4,261,0,6,0,1,0,0,0,0,0,0,0
2010,H50,1,4,261,1,1,0,0,0,0,0,0,0,0,0
2010,H50,1,1,129,0,2,0,0,1,0,0,0,0,0,0
2010,H50,1,26,350,0,0,0,0,0,1,0,0,0,0,0
2010,H50,1,1,129,1,1,0,0,0,0,0,0,0,0,0
2010,H50,1,3,012,0,2,0,0,0,0,0,0,0,0,0
2010,H06,3,5,833,0,0,0,0,1,0,0,0,0,0,0
2010,H06,3,6,802,2,1,0,0,0,0,0,0,0,0,0
2010,H06,3,1,129,0,8,0,0,0,0,0,0,0,0,0
2010,H06,3,3,012,0,0,0,0,0,0,0,0,0,0,1
2010,H06,4,3,012,0,3,0,0,0,0,0,0,1,0,0
